iRent平假日,經緯度後三位,小時,想租未租筆數,kepler_time
"假日","25.030,121.514",7,1,"07:00"
"假日","25.031,121.514",7,1,"07:00"
"假日","24.972,121.255",7,1,"07:00"
"假日","25.058,121.358",7,1,"07:00"
"假日","24.173,120.723",7,1,"07:00"
"假日","25.086,121.602",7,1,"07:00"
"假日","24.137,120.713",7,1,"07:00"
"假日","24.724,121.095",7,1,"07:00"
"假日","25.128,121.745",7,1,"07:00"
"假日","25.006,121.418",7,1,"07:00"
"假日","24.804,120.977",7,1,"07:00"
"假日","24.229,120.651",7,1,"07:00"
"假日","24.097,120.601",7,1,"07:00"
"假日","22.627,120.315",7,1,"07:00"
"假日","25.020,121.315",7,1,"07:00"
"假日","25.023,121.538",7,1,"07:00"
"假日","24.967,121.299",7,1,"07:00"
"假日","24.992,121.465",7,1,"07:00"
"假日","25.010,121.463",7,1,"07:00"
"假日","24.953,121.214",7,1,"07:00"
"假日","23.002,120.209",7,1,"07:00"
"假日","25.052,121.530",7,1,"07:00"
"假日","25.187,121.434",7,1,"07:00"
"假日","25.060,121.545",7,1,"07:00"
"假日","24.954,121.503",7,1,"07:00"
"假日","25.069,121.662",7,1,"07:00"
"假日","25.072,121.369",7,1,"07:00"
"假日","24.975,121.535",7,1,"07:00"
"假日","25.057,121.464",7,1,"07:00"
"假日","25.060,121.523",7,1,"07:00"
"假日","25.051,121.570",7,1,"07:00"
"假日","25.050,121.549",7,1,"07:00"
"假日","25.051,121.475",7,1,"07:00"
"假日","24.998,121.474",7,1,"07:00"
"假日","24.954,121.221",7,1,"07:00"
"假日","25.008,121.516",7,1,"07:00"
"假日","24.981,121.248",7,1,"07:00"
"假日","24.988,121.574",7,1,"07:00"
"假日","25.048,121.538",7,1,"07:00"
"假日","23.780,120.942",7,1,"07:00"
"假日","24.256,120.532",7,1,"07:00"
"假日","25.062,121.636",7,1,"07:00"
"假日","24.969,121.541",7,1,"07:00"
"假日","25.187,121.440",7,1,"07:00"
"假日","25.120,121.525",7,1,"07:00"
"假日","25.079,121.587",7,1,"07:00"
"假日","25.046,121.522",7,1,"07:00"
"假日","25.044,121.518",7,1,"07:00"
"假日","25.053,121.299",7,1,"07:00"
"假日","25.014,121.478",7,1,"07:00"
"假日","24.974,121.536",7,1,"07:00"
"假日","25.059,121.569",7,1,"07:00"
"假日","25.072,121.378",7,1,"07:00"
"假日","25.025,121.514",7,1,"07:00"
"假日","25.191,121.440",7,1,"07:00"
"假日","24.963,121.225",7,1,"07:00"
"假日","25.082,121.383",7,1,"07:00"
"假日","25.059,121.494",7,1,"07:00"
"假日","25.131,121.747",7,1,"07:00"
"假日","25.003,121.205",7,1,"07:00"
"假日","24.986,121.314",7,1,"07:00"
"假日","25.030,121.551",7,1,"07:00"
"假日","24.994,121.480",7,1,"07:00"
"假日","25.045,121.580",7,1,"07:00"
"假日","25.050,121.510",7,1,"07:00"
"假日","24.990,121.577",7,1,"07:00"
"假日","24.219,120.655",7,1,"07:00"
"假日","25.036,121.436",7,1,"07:00"
"假日","25.153,121.444",7,1,"07:00"
"假日","24.955,121.499",7,1,"07:00"
"假日","24.985,121.293",7,1,"07:00"
"假日","24.957,121.250",7,1,"07:00"
"假日","23.561,120.440",7,1,"07:00"
"假日","25.042,121.620",7,1,"07:00"
"假日","25.068,121.519",7,1,"07:00"
"假日","25.056,121.482",7,1,"07:00"
"假日","25.083,121.464",7,1,"07:00"
"假日","25.034,121.504",7,1,"07:00"
"假日","25.026,121.544",7,1,"07:00"
"假日","25.120,121.468",7,1,"07:00"
"假日","25.048,121.528",7,1,"07:00"
"假日","22.597,120.335",7,1,"07:00"
"假日","25.048,121.524",7,1,"07:00"
"假日","24.943,121.373",7,1,"07:00"
"假日","25.009,121.463",7,1,"07:00"
"假日","25.039,121.385",7,1,"07:00"
"假日","25.044,121.564",7,1,"07:00"
"假日","25.057,121.525",7,1,"07:00"
"假日","25.099,121.766",7,1,"07:00"
"假日","24.946,121.217",7,1,"07:00"
"假日","25.085,121.489",7,1,"07:00"
"假日","22.626,120.367",7,1,"07:00"
"假日","25.029,121.551",7,1,"07:00"
"假日","25.022,121.807",7,1,"07:00"
"假日","25.072,121.605",7,1,"07:00"
"假日","24.994,121.585",7,1,"07:00"
"假日","24.997,121.305",7,1,"07:00"
"假日","25.039,121.391",7,1,"07:00"
"假日","25.008,121.467",7,1,"07:00"
"假日","25.031,121.421",7,1,"07:00"
"假日","23.015,120.215",7,1,"07:00"
"假日","24.997,121.199",7,1,"07:00"
"假日","25.118,121.495",7,1,"07:00"
"假日","24.991,121.457",7,1,"07:00"
"假日","22.664,120.285",7,1,"07:00"
"假日","25.071,121.643",7,1,"07:00"
"假日","24.945,121.377",7,1,"07:00"
"假日","25.018,121.212",7,1,"07:00"
